"","type","RT"
"1","word",464.874435321509
"2","non-word",437.668263224321
"3","non-word",395.796174941584
"4","word",503.941087267485
"5","word",486.8481750485
"6","word",456.498973652738
"7","non-word",373.593972085436
"8","word",459.059648951541
"9","word",488.67586426362
"10","non-word",440.314335739439
"11","word",472.955729373692
"12","non-word",418.330994456076
"13","word",446.878019338642
"14","word",490.270140945181
"15","non-word",396.811491529802
"16","word",513.194857164017
"17","word",414.235351190905
"18","non-word",404.380353307817
"19","non-word",416.664396402122
"20","word",498.772564674486
"21","word",483.097555956698
"22","non-word",488.24886615809
"23","non-word",427.816232850656
"24","non-word",436.444927935001
"25","word",492.314436488204
"26","non-word",451.818673718815
"27","word",474.237020217028
"28","word",511.362539725233
"29","word",417.766940677293
"30","non-word",445.036643037065
"31","non-word",415.422921731262
"32","non-word",468.315810541942
"33","non-word",403.084684128581
"34","non-word",395.503138046324
"35","non-word",398.858830567887
"36","non-word",421.089653337918
"37","non-word",465.619361322381
"38","non-word",478.886715676744
"39","word",482.205005582677
"40","word",509.443417014957
"41","word",509.384884300713
"42","non-word",396.658511358053
"43","non-word",400.562254532215
"44","non-word",426.729268830964
"45","word",474.059493725796
"46","word",485.062925436952
"47","word",503.473717010659
"48","non-word",370.029132566838
"49","non-word",384.800221991358
"50","word",449.162046410422
"51","word",396.649481065283
"52","non-word",467.158716125516
"53","non-word",476.993630226255
"54","word",539.758951861594
"55","non-word",442.064005920853
"56","non-word",406.943984091849
"57","non-word",407.646276763772
"58","word",442.636679603176
"59","non-word",444.982610884506
"60","non-word",404.193715212191
"61","word",421.665087244899
"62","word",466.390899186279
"63","non-word",445.284914408066
"64","word",506.38257670953
"65","word",460.841109423463
"66","word",446.606147673476
"67","word",440.833032883597
"68","non-word",412.069700645845
"69","non-word",408.540778587753
"70","non-word",422.330033320827
"71","word",471.688478578496
"72","word",460.290225275397
"73","non-word",414.816889782694
"74","word",539.16314662485
"75","non-word",398.055282294253
"76","non-word",379.595047561235
"77","word",487.179042692347
"78","word",435.073660852986
"79","word",484.341871957729
"80","non-word",405.969023784303
"81","non-word",420.601533234064
"82","non-word",429.61733109288
"83","word",484.069583523496
"84","non-word",487.384576186385
"85","word",523.564041505167
"86","non-word",436.169562165702
"87","non-word",451.701787874336
"88","word",447.700192062398
"89","non-word",463.831347562267
"90","non-word",442.708321810326
"91","word",506.905294230442
"92","non-word",400.11583847509
"93","non-word",416.75434813096
"94","non-word",445.827272259291
"95","word",481.05313807756
"96","non-word",361.279369157705
"97","word",448.577730905449
"98","word",447.343794807453
"99","word",423.225866535272
"100","word",489.959252412837
"101","word",445.529818605473
"102","word",492.162948640436
"103","word",442.55152310475
"104","non-word",374.991000807076
"105","non-word",475.343468716613
"106","word",432.068675293931
"107","word",490.306220095232
"108","non-word",413.42651266419
"109","word",510.784141852621
"110","non-word",433.839420365324
"111","word",482.162303559422
"112","non-word",449.881939065114
"113","non-word",461.616579485113
"114","non-word",464.500790568847
"115","non-word",463.86553829706
"116","non-word",426.847292459321
"117","word",419.969685114648
"118","word",464.491139755151
"119","non-word",440.32679474099
"120","word",459.210735580031
"121","non-word",440.025735604419
"122","non-word",379.476126087461
"123","word",500.889271773085
"124","non-word",449.703448770728
"125","non-word",388.294759063753
"126","non-word",446.202291317439
"127","non-word",419.267084415767
"128","non-word",432.145196062275
"129","non-word",426.414178877257
"130","non-word",401.444000289441
"131","non-word",453.816153200767
"132","word",467.465061268336
"133","non-word",431.052328991526
"134","non-word",445.399532857399
"135","non-word",442.888459807536
"136","non-word",455.044549245645
"137","non-word",413.3164789337
"138","non-word",434.317860116169
"139","non-word",422.995633083595
"140","non-word",435.28768434684
"141","word",498.23255283653
"142","word",481.02406390601
"143","non-word",355.942142515342
"144","non-word",339.881207972689
"145","word",460.674241072662
"146","non-word",423.779014384345
"147","non-word",420.093538716879
"148","word",499.881199602775
"149","non-word",395.378062042631
"150","word",426.335517037863
"151","word",436.286551964457
"152","word",494.10716156549
"153","non-word",389.234139253144
"154","word",479.134931971526
"155","word",483.797644089885
"156","non-word",390.686775180441
"157","word",463.363464592857
"158","word",441.390451125882
"159","non-word",443.159379042574
"160","word",454.141287420113
"161","non-word",362.038150263883
"162","non-word",446.263292118107
"163","word",458.959686261362
"164","non-word",424.231590310171
"165","non-word",391.083122447692
"166","word",461.696578370828
"167","non-word",439.345736166377
"168","word",497.175702798992
"169","non-word",469.091758841448
"170","word",395.570145546864
"171","word",507.633478955568
"172","non-word",409.443458308437
"173","word",469.184349612927
"174","word",453.403061945373
"175","non-word",453.179944053216
"176","word",455.433239481144
"177","word",524.760071861009
"178","word",489.970526176033
"179","non-word",453.643835308951
"180","non-word",390.766854544004
"181","non-word",408.541437346252
"182","non-word",421.959746931846
"183","non-word",412.434446775262
"184","word",466.74272306906
"185","word",407.948249899462
"186","word",424.377369662983
"187","non-word",430.214645371414
"188","word",485.363143544776
"189","word",535.741010235505
"190","word",445.090990318885
"191","non-word",427.33996103931
"192","non-word",455.297530586266
"193","word",447.962426371576
"194","word",492.108726674903
"195","non-word",422.839399047657
"196","word",442.759435450477
"197","non-word",440.057125351565
"198","word",530.334555640173
"199","non-word",393.536053881364
"200","word",477.152089245565
"201","word",465.733098052018
"202","non-word",450.379878866891
"203","word",470.024924275491
"204","non-word",464.795249782857
"205","word",450.636863258654
"206","non-word",423.238729922815
"207","word",484.863152218655
"208","non-word",400.044060522019
"209","word",457.798031235792
"210","non-word",419.900200386477
"211","word",488.419627701154
"212","word",409.822538709619
"213","word",486.993990734227
"214","non-word",467.346884415381
"215","word",474.188921689831
"216","word",436.467417403645
"217","word",414.364629846518
"218","word",465.863894427909
"219","word",439.345698401286
"220","non-word",432.738060783608
"221","non-word",382.440093713831
"222","non-word",437.232142004506
"223","non-word",428.977229013917
"224","word",464.783988041318
"225","word",473.620136088041
"226","word",460.242998675534
"227","word",472.618069647152
"228","word",469.346916886651
"229","word",463.065661538166
"230","word",501.310360841321
"231","word",451.265957292342
"232","non-word",439.796700877556
"233","word",501.259761203852
"234","word",464.573741594287
"235","non-word",450.006847057841
"236","word",395.118869184669
"237","word",412.087322011292
"238","word",505.840857034263
"239","non-word",464.996365167039
"240","non-word",452.540427957286
"241","word",502.123914415203
"242","word",467.053912896594
"243","word",432.33544544645
"244","word",467.966773646068
"245","word",506.953577424795
"246","non-word",446.78797882986
"247","non-word",414.181200099395
"248","word",475.900275343187
"249","word",531.975840475503
"250","non-word",447.057367782589
"251","word",440.17860098073
"252","word",511.751429540379
"253","word",491.065468964043
"254","non-word",425.558210127421
"255","non-word",484.23894623285
"256","non-word",434.555049246919
"257","word",487.240261237135
"258","word",461.198663377928
"259","word",483.101170991349
"260","word",492.716305465087
"261","non-word",426.68032618928
"262","non-word",460.944192116763
"263","non-word",425.627100334711
"264","non-word",487.987843119818
"265","word",456.485219700128
"266","non-word",401.444709651473
"267","non-word",417.740783738583
"268","non-word",449.054682150536
"269","word",460.890098472275
"270","non-word",432.739418706211
"271","non-word",383.746843313135
"272","non-word",392.255829406681
"273","word",430.06570466717
"274","non-word",443.421440584943
"275","word",481.411944766586
"276","word",523.411563642001
"277","word",438.182945177005
"278","non-word",450.903116751909
"279","word",454.314366644411
"280","non-word",431.739713550404
"281","word",462.468325677729
"282","non-word",351.132267386512
"283","word",388.551845055809
"284","word",457.754422684755
"285","non-word",382.27861709411
"286","non-word",362.384330365721
"287","non-word",462.456568888241
"288","word",460.118349022437
"289","non-word",413.242148539574
"290","non-word",394.873995071058
"291","non-word",393.104757467091
"292","non-word",429.632715539698
"293","non-word",456.812174749458
"294","word",518.939245252024
"295","word",472.853808072784
"296","word",479.287071226811
"297","non-word",407.495648587233
"298","word",485.707265066285
"299","non-word",430.728017895582
"300","non-word",427.21270145784
"301","word",455.817812686804
"302","non-word",407.017534241185
"303","word",482.704675768709
"304","word",444.082761417176
"305","word",502.196262419689
"306","non-word",456.382751031233
"307","word",430.745153142758
"308","word",438.208032531906
"309","non-word",470.596324568229
"310","word",434.270679975473
"311","word",461.008272982532
"312","non-word",456.191700427667
"313","non-word",407.080235920356
"314","non-word",398.921669487033
"315","non-word",405.185610641313
"316","word",458.460759791706
"317","non-word",442.331664162375
"318","non-word",376.498043953837
"319","word",503.042352865918
"320","non-word",418.265324466415
"321","word",453.203531574712
"322","word",451.932100850487
"323","non-word",417.150060875274
"324","non-word",446.158428259208
"325","non-word",368.483539604355
"326","word",461.533890242336
"327","word",488.816469765606
"328","word",435.227042510247
"329","word",519.299500117663
"330","word",460.665923589155
"331","word",501.675987527428
"332","word",434.225518412381
"333","non-word",433.496592451899
"334","non-word",415.795398856107
"335","word",428.171647047314
"336","word",459.134559085699
"337","word",511.749924723836
"338","non-word",431.467488621565
"339","word",501.775861785914
"340","word",473.98124622427
"341","word",456.633966470597
"342","word",483.307514500967
"343","word",478.961158123705
"344","non-word",445.826397085142
"345","non-word",428.349279514993
"346","word",458.460098691406
"347","non-word",420.8950195408
"348","word",463.120919342377
"349","non-word",442.867555752345
"350","non-word",405.1715890039
"351","word",461.276189285207
"352","non-word",464.968914934171
"353","non-word",449.350501650224
"354","word",424.498647141485
"355","word",478.115584664855
"356","word",449.544389355136
"357","non-word",417.632933063717
"358","word",503.023846657412
"359","word",448.456733583737
"360","word",480.857585443914
"361","word",442.975950488913
"362","word",456.425646523025
