"","type","RT"
"1","word",423.101852654596
"2","word",429.943181336987
"3","non-word",486.995907086904
"4","non-word",451.440024644588
"5","non-word",482.265711673337
"6","non-word",470.800327569341
"7","non-word",502.307791017622
"8","non-word",396.022853141673
"9","word",428.078412186543
"10","word",400.982725870932
"11","non-word",507.6153129343
"12","non-word",459.568405522799
"13","non-word",445.219272731443
"14","word",459.997893418254
"15","word",401.035272510242
"16","non-word",476.018739445294
"17","word",464.207524715135
"18","word",407.876357610795
"19","non-word",509.728890958275
"20","word",499.710089123443
"21","non-word",477.485426936213
"22","word",425.781457971014
"23","non-word",481.847227514648
"24","word",452.095257281586
"25","word",397.418532254886
"26","non-word",505.415650520897
"27","word",388.534994161138
"28","non-word",436.639647257095
"29","non-word",493.744114145577
"30","word",437.401643645113
"31","word",447.427439337203
"32","non-word",477.34539378639
"33","word",442.884794733045
"34","non-word",481.19936539595
"35","word",385.18300669217
"36","word",404.499486965786
"37","word",421.462554943066
"38","non-word",467.691669350808
"39","non-word",395.856565382181
"40","non-word",481.595062666815
"41","non-word",445.898340667672
"42","word",431.407556404107
"43","non-word",464.797888918571
"44","non-word",520.700954854566
"45","word",454.257028799045
"46","word",406.611508219367
"47","word",396.45610620795
"48","non-word",509.93497513103
"49","non-word",483.061086756285
"50","non-word",450.020901242376
"51","non-word",453.149741921357
"52","non-word",419.425179488411
"53","word",432.525352828593
"54","word",419.508023764372
"55","non-word",439.733323790899
"56","non-word",481.879741235859
"57","word",433.000618157971
"58","word",471.697789027823
"59","non-word",485.736587637924
"60","non-word",517.176617144878
"61","word",414.011991131634
"62","non-word",507.232141598026
"63","word",409.847974323953
"64","non-word",408.972770242755
"65","word",390.59946577333
"66","non-word",507.508322335521
"67","non-word",496.678061210791
"68","word",393.364282487285
"69","non-word",463.811288674595
"70","non-word",430.535788187609
"71","non-word",463.485227338246
"72","word",427.185086164627
"73","word",455.834430580501
"74","word",406.332152466332
"75","word",375.95739092763
"76","non-word",425.845920159598
"77","word",424.299441926581
"78","non-word",401.132620330688
"79","word",430.965545839113
"80","word",417.780943962606
"81","word",440.560635345921
"82","non-word",451.869764969704
"83","non-word",455.856680624056
"84","word",429.010061143495
"85","non-word",471.717960844357
